Name,Cusine,Coordinates,Address,Address(Full)
Assembly Chefs Hall,Food Court,"(43.65034915, -79.3838532685437)",111 Richmond Street W,"Richmond Adelaide Centre, 111, Richmond Street West, Richmond-Adelaide Centre, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Pizzeria Libretto Danforth,Pizza; Italian,"(46.5085856, -80.9360197954497)",550 Danforth Avenue,"550, Danforth Avenue, Sudbury, Greater Sudbury, Ontario, P3A 1A6, Canada"
Yummy Yummy Dumplings,Chinese; Dumplings; Soup,"(43.0048963333333, -81.266228)",79 Huron Street,"79, Huron Street, Stoneybrook Gardens, London, Southwestern Ontario, Ontario, N6A 3K6, Canada"
Levetto,Italian; Pizza; Salad,"(43.6412061, -79.4189714)",68 Sudbury Street,"Sudbury Street, Liberty Village, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1X4, Canada"
La Palette,French; Desserts; Bars,"(43.647918, -79.4009864)",492 Queen Street W,"La Palette, 492, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B4, Canada"
Summers Ice Cream,Ice Cream & Frozen Yogurt; Desserts,"(43.670822631579, -79.392261368421)",101 Yorkville Avenue,"101, Yorkville Avenue, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 0B4, Canada"
La Cubana,Cuban; Desserts; Sandwiches,"(43.6461793, -79.4196986)",92 Ossington Avenue,"La Cubana, 92, Ossington Avenue, Ossington Strip, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2Z5, Canada"
Bar Buca,Bars; Italian; Breakfast & Brunch,"(43.6439014, -79.3994795)",75 Portland Street,"75, Portland Street, King West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1M3, Canada"
The Poke Box,Salad; Poke,"(43.6506875, -79.3766921)",36 Toronto Street,"BLD Restaurant, 36, Toronto Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 2R1, Canada"
Good Fork,Canadian (New),"(43.8713875, -78.9810891)",1550 Dundas St W,"1550, Dundas Street West, West Lynde, Whitby, Durham Region, Ontario, L1R 2P2, Canada"
Chubbys Jamaican Kitchen,Caribbean,"(43.645313, -79.40058175)",104 Portland Street,"104, Portland Street, King West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1M3, Canada"
Josos,Seafood,"(43.674841, -79.396462)",202 Davenport Road,"202, Davenport Road, Bloor Street Culture Corridor, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 1J3, Canada"
Sugo,Italian; Sandwiches; Cocktail Bars,"(43.6583005, -79.442251)",1279 Bloor Street W,"The Emerson Restaurant, 1279, Bloor Street West, Bloordale Village, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 1N7, Canada"
Almond Butterfly Cafe & Bakeshop,Bakeries; Cafes; Breakfast & Brunch,"(43.6629196, -79.4034116)",100 Harbord Street,"Lotus Yoga Center, 100, Harbord Street, Harbord Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1G4, Canada"
Korean Village Restaurant,Korean,"(43.6645599, -79.4143924)",628 Bloor Street W,"Korean Village Restaurant, 628, Bloor Street West, Mirvish Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1K8, Canada"
Scaddabush Italian Kitchen & Bar,"Wine Bars; Italian; Beer, Wine & Spirits","(43.6590065, -79.3833435)",382 Yonge Street,"Duke's Refresher + Bar, 382, Yonge Street, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1S8, Canada"
Plentea,Coffee & Tea; Tea Rooms,"(43.6418778, -79.428659)",1205 Queen Street W,"1205, Queen Street West, Parkdale, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1M1, Canada"
Cluny Bistro & Boulangerie,French; Wine Bars; Cocktail Bars,"(43.650592, -79.357805)",35 Tank House Lane,"35, Tank House Lane, Distillery District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3C4, Canada"
Mengrai Thai,Thai; Noodles,"(44.2265025, -76.4836176193182)",82 Ontario Street,"82, Ontario Street, Sydenham, Kingston, Eastern Ontario, Ontario, K7L 2Y6, Canada"
Sassafraz,French,"(43.6703935, -79.3910859)",100 Cumberland Street,"sassafraz, 100, Cumberland Street, Bloor Street Culture Corridor, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 3V5, Canada"
Smoque N Bones,Barbeque,"(43.645709, -79.4107337)",869 Queen Street W,"Smoque N' Bones, 869, Queen Street West, West Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1E4, Canada"
Seor Ak San,Korean,"(43.6555192857143, -79.3987717142857)",357 Spadina Avenue,"357, Spadina Avenue, Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2G3, Canada"
The Hogtown Vegan,Vegan,"(43.6605582, -79.4325718)",1056 Bloor St. W,"The Hogtown Vegan, 1056, Bloor Street West, Dovercourt, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 1M3, Canada"
Tachi,Sushi Bars; Japanese,"(43.65034915, -79.3838532685437)",111 Richmond Street W,"Richmond Adelaide Centre, 111, Richmond Street West, Richmond-Adelaide Centre, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Banjara Indian Cuisine,Indian,"(43.6631513, -79.4219757)",796 Bloor Street W,"Banjara, 796, Bloor Street West, Koreatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6E 4A1, Canada"
Apiecalypse Now!,Pizza; Vegan; Ice Cream & Frozen Yogurt,"(43.663385, -79.4186318)",735 Bloor Street W,"Fubar, 735, Bloor Street West, Koreatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6E 4A1, Canada"
Trattoria Nervosa,Italian; Pizza; Salad,"(43.671056, -79.391152)",75 Yorkville Avenue,"75, Yorkville Avenue, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4W 0A4, Canada"
Veghed,Vegan; Vegetarian,"(43.6492662, -79.4224251)",1199 Dundas Street W,"Veghed Fresh Bar, 1199, Dundas Street West, Ossington Strip, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 1Y3, Canada"
Tandem Coffee,Coffee & Tea,"(43.6536223, -79.3618997)",368 King Street E,"Tandem Coffee, 368, King Street East, Corktown, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1G1, Canada"
Odd Seoul,Korean; Dive Bars; Asian Fusion,"(45.389774, -75.6860639097035)",90 Ossington Avenue,"90, Ossington Avenue, Rideau Gardens, Old Ottawa South, Capital, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1S 0X5, Canada"
Okonomi House Restaurant,Japanese,"(43.668133, -79.387207)",23 Charles Street W,"Okonomi House, 23, Charles Street West, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2B7, Canada"
HotBlack Coffee,Coffee & Tea; Cafes; Breakfast & Brunch,"(43.6502956, -79.3886641)",245 Queen Street W,"HotBlack Coffee, 245, Queen Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Egg Bae,Breakfast & Brunch,"(43.6535663631579, -79.4014644)",189 Augusta Avenue,"189, Augusta Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1H5, Canada"
Imm Thai Kitchen,Thai; Noodles,"(43.6548747818182, -79.4160299545455)",651 College Street,"651, College Street, College Square, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1B1, Canada"
Indie Ale House,Breweries; Gastropubs; Pizza,"(43.6655235, -79.4653909)",2876 Dundas Street W,"Indie Alehouse, 2876, Dundas Street West, Little Malta, The Junction, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Makkal Chon,Korean,"(43.7447731267604, -79.2967156902795)",1979 Lawrence Avenue E,"1979, Lawrence Avenue East, Wexford, Scarborough, Scarborough Centre, Scarborough, Toronto, Ontario, M1R2Y6, Canada"
STACK,Barbeque,"(43.7292649, -79.4030957)",3265 Yonge Street,"Stack, 3265, Yonge Street, Lawrence Park, Don Valley West, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4N 2L2, Canada"
Schnitzel Queen,German; Sandwiches,"(43.6541702, -79.3702551055818)",211 Queen Street E,"Schnitzel Queen, 211, Queen Street East, Moss Park, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1S2, Canada"
White Lily Diner,Breakfast & Brunch; Diners,"(43.6587077857143, -79.3511885285714)",678 Queen Street E,"678, Queen Street East, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1H1, Canada"
Casa Loma,Museums,"(43.6781015, -79.409415775)",1 Austin Terrace,"Casa Loma, 1, Austin Terrace, Tarragon Village, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 1X9, Canada"
Completo,Latin American; Fast Food; Comfort Food,"(43.6626507341505, -79.3340359514569)",5 Coady Avenue,"5, Coady Avenue, Leslieville, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1L2, Canada"
Mr.Tonkatsu,Japanese,"(43.6653513, -79.4107716)",520 Bloor Street W,"Tonkatsu, 520, Bloor Street West, Mirvish Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1Y3, Canada"
The Burgers Priest,Burgers,"(43.66674420625, -79.3154068625)",1636 Queen Street E,"1636, Queen Street East, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4L 1G5, Canada"
Earls Kitchen + Bar,Canadian (New); Cocktail Bars,"(43.648113, -79.3844605467909)",150 King Street West,"Sun Life Financial, 150, King Street West, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Barberians Steak House,Steakhouses,"(45.4108287, -75.7118807844497)",7 Elm Street,"7, Elm Street, Chinatown, Somerset, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1R 6N2, Canada"
Wongs Ice Cream & Store,Ice Cream & Frozen Yogurt; Desserts,"(43.6656355608696, -79.3511275652174)",617 Gerrard Street E,"617, Gerrard Street East, Chinatown East, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1Y2, Canada"
Levetto,Pizza; Italian; Salad,"(43.6553551, -79.3993092)",382 Spadina Avenue,"Lavetto, 382, Spadina Avenue, Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2G7, Canada"
Indian Spice Room,Indian; Vegetarian,"(43.6588529285714, -79.3493249857143)",717 Queen Street E,"717, Queen Street East, Riverdale, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1H4, Canada"
LUnita Enoteca,Italian,"(43.6743445, -79.3965625)",134 Avenue Road,"134, Avenue Road, Bloor Street Culture Corridor, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 2H6, Canada"
Little Pebbles,Desserts; Coffee & Tea,"(43.6550731, -79.3996887)",160 Baldwin Street,"Hot Beans, 160, Baldwin Street, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 3K7, Canada"
Yummy Korean Food Restaurant,Korean,"(43.6646289, -79.4140629)",620 Bloor Street W,"Yummy Korean Restaurant, 620, Bloor Street West, Mirvish Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1K8, Canada"
Sukho Thai,Thai,"(43.6485802, -79.374533)",52 Wellington Street E,"The Resevoir Lounge, 52, Wellington Street East, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1C7, Canada"
Como En Casa,Mexican,"(44.3587588, -79.6515922)",565 Yonge Street,"565, Yonge Street, Barrie, Central Ontario, Ontario, L4N 4E6, Canada"
Chatime - Dundas,Coffee & Tea,"(43.6556486, -79.3847106)",132 Dundas Street W,"Chatime, 132, Dundas Street West, First Chinatown, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1C3, Canada"
Union,French; Wine Bars,"(43.6458181, -79.4196165333333)",72A Ossington Avenue,"72, Ossington Avenue, Ossington Strip, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2Y9, Canada"
King Taps,Lounges; Canadian (New); Breakfast & Brunch,"(43.6487681, -79.3816917928303)",Located in First Canadian Place,"First Canadian Place, 100, King Street West, Toronto-Dominion Centre, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Cafe Crepe,Creperies; Breakfast & Brunch; Coffee & Tea,"(43.650049, -79.3908298)",246 Queen Street W,"Cafe Crepe, 246, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1Z7, Canada"
Salad Days,Food Stands; Salad,"(43.6704731, -79.3872520313426)",2 Bloor Street W,"Two Bloor West, 2, Bloor Street West, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4W 3L8, Canada"
Homemade Ramen,Chinese; Noodles; Ramen,"(43.6523099, -79.3975102666667)",263 Spadina Avenue,"263, Spadina Avenue, Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1H1, Canada"
Honest Weight,Seafood; Seafood Markets,"(43.6653617, -79.4613256)",2766 Dundas Street W,"Honest Weigth, 2766, Dundas Street West, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Allan Gardens,Parks,"(43.6612369, -79.3749689)",19 Horticultural Avenue,"Horticultural Avenue, Garden District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada"
Sweet Jesus,Desserts; Ice Cream & Frozen Yogurt; Coffee & Tea,"(43.647722, -79.390355)",106 John Street,"106, John Street, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Messini Authentic Gyros,Greek; Sandwiches,"(43.6777008380952, -79.3504806904762)",445 Danforth Avenue,"445, Danforth Avenue, Greektown, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 1N8, Canada"
The Irv Gastro Pub,Burgers; Gastropubs,"(43.6635747, -79.3705879)",195 Carlton Street,"The Irv, 195, Carlton Street, Cabbagetown, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 2K7, Canada"
Soma Chocolatemaker,Chocolatiers & Shops; Ice Cream & Frozen Yogurt; Desserts,"(43.6507062, -79.3582501)",32 Tank House Lane,"Soma Chocolatemaker, 32, Tank House Lane, Distillery District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3C4, Canada"
Chadwicks,Canadian (New); Comfort Food,"(43.67352875, -79.4119694021726)",268 Howland Avenue,"268, Howland Avenue, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 1V9, Canada"
Veggie DLight,Caribbean; Vegan; Gluten-Free,"(43.6550731, -79.3996887)",160 Baldwin Street,"Hot Beans, 160, Baldwin Street, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 3K7, Canada"
KINTON RAMEN,Ramen; Noodles,"(43.655826, -79.393899)",51 Baldwin Street,"51, Baldwin Street, Discovery District, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1K1, Canada"
Dönerland,Mediterranean; Halal; Kebab,"(43.64576705, -79.4485819997892)",217 Roncesvalles Avenue,"217, Roncesvalles Avenue, Parkdale, Roncesvalles, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 2N1, Canada"
Gyubee Japanese Grill - Bloor,Steakhouses; Barbeque; Japanese,"(43.6671324, -79.4006315)",335 Bloor Street W,"Regal Beagle Pub, 335, Bloor Street West, The Annex, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1W7, Canada"
Woodlot Restaurant,Vegetarian; Canadian (New); Comfort Food,"(43.6558225, -79.409965)",293 Palmerston Avenue,"Woodlot, 293, Palmerston Avenue, Little Italy, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2J3, Canada"
Pizzeria Libretto,Pizza; Italian,"(43.6484289, -79.3849689)",155 University Avenue,"Pizzeria Libretto, 155, University Avenue, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Logas Corner,Himalayan/Nepalese,"(43.6401151, -79.4358526)",216C Close Avenue,"216, Close Avenue, Parkdale, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 2V6, Canada"
Fresh On Bloor,Vegan; Salad; Soup,"(43.6669789, -79.4035075805844)",326 Bloor Street W,"Fresh on Bloor, 326, Bloor Street West, The Annex, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1W5, Canada"
iHalo Krunch,Ice Cream & Frozen Yogurt,"(43.6459601, -79.4095532)",831 Queen Street W,"iHalo Krunch, 831, Queen Street West, West Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1E4, Canada"
Si Lom Thai Bistro,Thai; Noodles; Seafood,"(43.6650423051355, -79.3808010082156)",534 Church Street,"534, Church Street, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2C6, Canada"
Le Gourmand,Coffee & Tea; Breakfast & Brunch; Cafes,"(45.4011646, -75.7191214079858)",152 Spadina Avenue,"152, Spadina Avenue, Civic Hospital, Hintonburg, Kitchissippi, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1Y 3P7, Canada"
Forno Cultura,Bakeries; Coffee & Tea,"(43.6442255, -79.4005946)",609 King Street W,"WVRST, 609, King Street West, King West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1M5, Canada"
Tacos El Asador,Mexican; Latin American,"(43.6637644, -79.4169172)",689 Bloor Street W,"Tacos El Asador, 689, Bloor Street West, Koreatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 4B9, Canada"
Koh Lipe Thai Kitchen,Thai,"(43.655896, -79.393572)",35 Baldwin Street,"35, Baldwin Street, Discovery District, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1K1, Canada"
Crepe TO,Creperies,"(43.7053053, -79.5211434)",52 Church Street,"52, Church Street, Weston, York, York South—Weston, York, Toronto, Golden Horseshoe, Ontario, M9N 1X7, Canada"
Early Bird Coffee & Kitchen,Coffee & Tea; Breakfast & Brunch,"(43.647385, -79.4025209)",613 Queen Street W,"Early Bird, 613, Queen Street West, Alexandra Park, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B5, Canada"
Raku,Japanese; Noodles,"(43.6482298, -79.399458)",456 Queen St W,"456, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B4, Canada"
The Dirty Bird Chicken + Waffles,Chicken Shop; Waffles; Burgers,"(43.654681, -79.400533)",79 Kensington Avenue,"79, Kensington Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2K2, Canada"
Ottos Bierhalle,German,"(43.6434164, -79.4221509)",1087 Queen Street W,"Otto's Bierhalle, 1087, Queen Street West, Little Portugal, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1H9, Canada"
Le Baratin,French,"(43.6500058965517, -79.4351527344828)",1600 Dundas Street. W,"1600, Dundas Street West, Little Portugal, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 0C2, Canada"
Live Organic Food Bar,Live/Raw Food; Organic Stores; Juice Bars & Smoothies,"(43.6750874, -79.4066649846154)",264 Dupont Street,"264, Dupont Street, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 1V7, Canada"
Kintako Japanese Restaurant,Japanese,"(43.711349, -79.3640872)",214 Laird Drive,"214, Laird Drive, Leaside Business Park, Don Valley West, East York, Toronto, Golden Horseshoe, Ontario, M4G 3W2, Canada"
Rolltation,Sushi Bars; Salad; Poke,"(43.654812, -79.387417)",207 Dundas Street W,"Sushi House, 207, Dundas Street West, First Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1C7, Canada"
Zaad,Middle Eastern,"(43.6666435, -79.4045998)",348 Bloor Street West,"Zaad, 348, Bloor Street West, The Annex, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1X1, Canada"
Carisma,Italian,"(43.650288, -79.376114)",15 Toronto Street,"15, Toronto Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 2R1, Canada"
The Caledonian,Pubs; Scottish; Whiskey Bars,"(43.6543297, -79.4235661)",856 College Street,"The Caledonian, 856, College Street, Dufferin Grove, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 3A5, Canada"
California Sandwiches,Sandwiches,"(43.6525588, -79.4122695)",244 Claremont Street,"244, Claremont Street, Little Italy, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2N8, Canada"
Jules Bistro,French,"(45.40141345, -75.7187636454039)",147 Spadina Avenue,"147, Spadina Avenue, Civic Hospital, Hintonburg, Kitchissippi, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1Y 3P7, Canada"
The Wren,Bars; American (Traditional),"(43.6825316272727, -79.3280575681818)",1382 Danforth Avenue,"1382, Danforth Avenue, Danforth Village, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4J 1M6, Canada"
Pukka,Indian,"(43.68110358, -79.42922462)",778 St. Clair Avenue W,"778, St. Clair Avenue West, Hillcrest Village, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6C 1B3, Canada"
Butter Avenue,Desserts; Bakeries; Macarons,"(43.6483225, -79.3977267)",477 Queen Street W,"Butter Avenue, 477, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B4, Canada"
Oyster Boy,Seafood,"(43.6452158, -79.414344)",872 Queen Street W,"Oyster Boy, 872, Queen Street West, West Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1G3, Canada"
Jimmys Coffee,Coffee & Tea,"(43.6449583, -79.4001307)",107 Portland Street,"Jimmy's Coffee, 107, Portland Street, King West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1M3, Canada"
The Hole In the Wall,Pubs; Canadian (New),"(43.6652742, -79.4650412666667)",2867 Dundas Street W,"2867, Dundas Street West, Little Malta, The Junction, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Le Petit Déjeuner,Breakfast & Brunch; Belgian,"(43.6515781, -79.3706106)",191 King Street E,"Petit Dejeuner, 191, King Street East, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1J5, Canada"
House of Gourmet,Chinese,"(44.0949184, -77.5971302)",484 Dundas St W,"484, Dundas Street West, Quinte West, Central Ontario, Ontario, K8V 5P7, Canada"
Tabule Restaurant,Middle Eastern; Vegan; Vegetarian,"(43.7009905, -79.3969366)",2009 Yonge Street,"Tabülè, 2009, Yonge Street, Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M2S 2A2, Canada"
KINTON RAMEN,Ramen; Noodles,"(43.66036925, -79.3790273529697)",396 Church Street,"Kinton Ramen, 396, Church Street, Garden District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 2A2, Canada"
Jimmys Coffee,Coffee & Tea,"(43.6545774, -79.4012591)",191 Baldwin Street,"Jimmy's Coffee, 191, Baldwin Street, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2L6, Canada"
Toronto Island,Parks; Beaches,"(43.6230544, -79.3943156372104)",Toronto Island,"Toronto Island, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
COO Café Bread or Rice,Japanese; French,"(43.6604664, -79.4319865)",1049 Bloor Street W,"Coo Cafe Bread or Rice, 1049, Bloor Street West, Dovercourt, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 1M3, Canada"
FUEL+,Coffee & Tea; Organic Stores; Juice Bars & Smoothies,"(43.6645001, -79.3803135)",471 Church Street,"Indian Roti House, 471, Church Street, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2C5, Canada"
Jimmys Coffee,Coffee & Tea,"(43.6584773, -79.3855605)",84 Gerrard Street W,"Jimmy's Coffee, 84, Gerrard Street West, Discovery District, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1H1, Canada"
Arctic Bites,Ice Cream & Frozen Yogurt,"(46.2867334, -81.7623005)",21 Baldwin Street,"21, Baldwin Street, Baldwin, Sudbury District, Ontario, P0P 1M0, Canada"
Kiin,Thai,"(43.647561, -79.392088)",326 Adelaide Street W,"Make Lemonade, 326, Adelaide Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Athens Pastries,Bakeries; Mediterranean,"(43.6780272684211, -79.3488040473684)",509 Danforth Avenue,"509, Danforth Avenue, Greektown, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 1N8, Canada"
Voodoo Child,Coffee & Tea; Cocktail Bars,"(43.6570599, -79.4055527)",388 College Street,"Voodoo Child Cafe, 388, College Street, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1S7, Canada"
Bosk,Canadian (New),"(43.6491799, -79.3862715226176)",Located in Shangri-La Hotel,"Shangri-La, 188, University Avenue, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Local Liberty Village,Sports Bars; Breakfast & Brunch,"(43.6385977, -79.4180586)",171 E Liberty Street,"BMO, 171, East Liberty Street, Liberty Village, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 3P8, Canada"
The Fish Store & Sandwiches,Sandwiches; Seafood,"(43.6549318, -79.4163175)",657 College Street,"The Fish Store & Yunes Sandwiches, 657, College Street, College Square, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1B7, Canada"
Tabülè Middle Eastern Cuisine,Middle Eastern,"(43.6597782, -79.3463671)",810 Queen Street E,"Tabule, 810, Queen Street East, Riverdale, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1H4, Canada"
Mangia & Bevi,Italian; Pizza,"(43.6522452, -79.3664233)",260 King Street E,"Mangia & Bevi, 260, King Street East, Moss Park, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 4L5, Canada"
Epicure City BOM,Korean,"(43.658601, -79.385282)",72 Gerrard Street W,"Spring Green, 72, Gerrard Street West, Discovery District, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1H1, Canada"
